event,catalog,P,profile,dayRange,eventDays,net_income_day,base_income_day,d_income_pct,lost_day,d_lost,delivered_day,served_day,spawn_fill,penalty_day,run_lose,run_lose_base
FATIGUE PROBLEM,new,3,zayif,1-15,20064,239.8,269.3,-11.0,2.4,0.28,3.18,6.37,0.995,29.5,0.6995,0.542
SLOW LOGISTICS,new,3,zayif,1-15,19713,224.6,269.3,-16.6,2.02,-0.11,3.25,6.72,0.995,30.4,0.796,0.542
MIXED SHIPMENT,new,3,zayif,5-11,11820,311.6,260.9,19.4,2.65,0.22,4.1,6.41,0.997,37.7,0.399,0.542
SURPRISE AUDIT,new,3,zayif,1-15,19089,208.9,269.3,-22.4,2.02,-0.11,3.32,6.65,0.995,62.2,0.8535,0.542
IMPATIENT DRIVERS,new,3,zayif,1-15,21054,254.2,269.3,-5.6,2.05,-0.07,3.33,6.81,0.995,31.4,0.5755,0.542
RETURN WAVE,new,3,zayif,5-15,12012,159.6,310.1,-48.5,4.78,2.18,2.16,4.6,0.999,20.3,0.993,0.542
BUSY DAY,new,3,zayif,1-15,21663,273.9,269.3,1.7,3.97,1.85,3.63,8.01,0.988,34.0,0.49,0.542
ANGRY CUSTOMERS,new,3,zayif,1-15,21099,274.0,269.3,1.7,3.53,1.4,3.67,6.37,0.995,33.5,0.5435,0.542
MARKETING DAY,new,3,zayif,1-15,18171,177.4,269.3,-34.1,2.69,0.57,3.3,7.51,0.984,31.2,0.945,0.542
SUPPLY STRIKE,new,3,zayif,1-15,16800,148.9,269.3,-44.7,1.22,-0.9,2.27,4.79,1.0,21.6,0.9965,0.542
(yok),old,3,orta,1-15,24000,565.5,565.5,0.0,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
BUSY DAY,old,3,orta,1-15,24000,584.0,565.5,3.3,2.26,0.66,6.3,8.75,0.871,27.5,0.0,0.0
DELIVERY BONUS,old,3,orta,1-15,24000,651.6,565.5,15.2,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
ANGRY CUSTOMERS,old,3,orta,1-15,24000,548.0,565.5,-3.1,2.9,1.3,6.02,7.57,0.997,26.2,0.0,0.0
RELAXED DAY,old,3,orta,1-15,24000,585.7,565.5,3.6,1.24,-0.36,6.3,8.28,1.0,27.5,0.0,0.0
SLOW LOGISTICS,old,3,orta,1-15,24000,522.0,565.5,-7.7,1.6,0.01,6.06,7.93,1.0,26.5,0.0,0.0
EXPRESS CARGO,old,3,orta,1-15,24000,596.2,565.5,5.4,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
HEAVY BOXES,old,3,orta,1-15,24000,515.0,565.5,-8.9,1.88,0.29,5.68,7.65,1.0,24.6,0.0,0.0
GOLDEN BOX DAY,old,3,orta,1-15,24000,669.7,565.5,18.4,1.77,0.17,6.42,8.86,0.98,28.5,0.0,0.0
OPPORTUNITY DAY,old,3,orta,1-15,24000,565.5,565.5,0.0,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
FATIGUE PROBLEM,old,3,orta,1-15,24000,450.3,565.5,-20.4,1.53,-0.06,5.06,6.56,1.0,21.9,0.0,0.0
VIP SERVICE,old,3,orta,1-15,24000,614.7,565.5,8.7,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
SURPRISE AUDIT,old,3,orta,1-15,24000,521.0,565.5,-7.9,1.6,0.0,6.15,7.94,1.0,54.1,0.0,0.0
RAINY DAY,old,3,orta,1-15,23991,444.6,565.5,-21.4,1.29,-0.31,4.98,6.31,1.0,21.6,0.001,0.0
MARKETING DAY,old,3,orta,1-15,24000,466.2,565.5,-17.6,1.87,0.27,6.36,8.93,0.96,27.5,0.0,0.0
CUSTOMER SUPPORT,old,3,orta,1-15,24000,595.2,565.5,5.3,1.46,-0.14,6.38,8.08,1.0,27.8,0.0,0.0
FESTIVAL DAY,old,3,orta,1-15,24000,798.0,565.5,41.1,1.59,-0.0,6.18,7.94,1.0,26.9,0.0,0.0
DELIVERY BONUS,new,3,orta,1-15,24000,651.6,565.5,15.2,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
EXPRESS CARGO,new,3,orta,1-15,24000,601.5,565.5,6.4,1.6,0.0,6.07,7.93,1.0,26.6,0.0,0.0
RELAXED DAY,new,3,orta,1-15,24000,612.5,565.5,8.3,1.11,-0.48,6.34,8.4,1.0,13.2,0.0,0.0
OPPORTUNITY DAY,new,3,orta,1-15,24000,565.5,565.5,0.0,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
CUSTOMER SUPPORT,new,3,orta,1-15,24000,634.3,565.5,12.2,1.37,-0.23,6.64,8.17,1.0,28.9,0.0,0.0
MONOCHROME DAY,new,3,orta,1-15,24000,658.8,565.5,16.5,1.82,0.22,7.01,7.86,1.0,11.6,0.0,0.0
QUEST DAY,new,3,orta,1-15,24000,584.5,565.5,3.4,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
GOLDEN BOX DAY,new,3,orta,1-15,24000,685.8,565.5,21.3,1.61,0.01,6.15,7.93,1.0,26.6,0.0,0.0
VIP SERVICE,new,3,orta,1-7,12000,470.8,343.2,37.2,1.23,0.42,5.99,6.92,0.998,26.1,0.0,0.0
FESTIVAL DAY,new,3,orta,1-15,24000,798.0,565.5,41.1,1.59,-0.0,6.18,7.94,1.0,26.9,0.0,0.0
RUSH BONUS,new,3,orta,1-15,24000,694.8,565.5,22.9,1.6,0.0,6.15,7.94,1.0,27.1,0.0,0.0
RAINY DAY,new,3,orta,1-15,23991,444.6,565.5,-21.4,1.29,-0.31,4.98,6.31,1.0,21.6,0.001,0.0
HEAVY BOXES,new,3,orta,1-15,24000,515.0,565.5,-8.9,1.88,0.29,5.68,7.65,1.0,24.6,0.0,0.0
FATIGUE PROBLEM,new,3,orta,1-15,24000,537.6,565.5,-4.9,1.82,0.23,5.91,7.71,1.0,25.9,0.0,0.0
SLOW LOGISTICS,new,3,orta,1-15,23994,511.0,565.5,-9.6,1.6,0.0,6.0,7.93,1.0,26.5,0.0005,0.0
MIXED SHIPMENT,new,3,orta,5-11,12000,561.7,496.7,13.1,1.93,0.24,6.31,7.46,1.0,26.8,0.0,0.0
SURPRISE AUDIT,new,3,orta,1-15,24000,521.0,565.5,-7.9,1.6,0.0,6.15,7.94,1.0,54.1,0.0,0.0
IMPATIENT DRIVERS,new,3,orta,1-15,24000,458.1,565.5,-19.0,1.4,-0.2,5.05,8.14,1.0,22.5,0.0,0.0
RETURN WAVE,new,3,orta,5-15,17826,357.6,654.7,-45.4,4.92,2.94,3.99,5.34,1.0,17.1,0.046,0.0
BUSY DAY,new,3,orta,1-15,24000,648.0,565.5,14.6,2.73,1.13,6.91,10.07,0.997,30.2,0.0,0.0
ANGRY CUSTOMERS,new,3,orta,1-15,24000,542.9,565.5,-4.0,3.0,1.41,6.04,7.54,1.0,26.2,0.0,0.0
MARKETING DAY,new,3,orta,1-15,24000,489.3,565.5,-13.5,2.02,0.42,6.7,9.38,0.998,29.6,0.0,0.0
SUPPLY STRIKE,new,3,orta,1-15,23940,355.8,565.5,-37.1,1.08,-0.52,4.41,5.54,1.0,19.5,0.0125,0.0
